coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
1250,3,M,1977,BBA,Accounting,100,1
1251,10,M,1977,BS,Biology,100,1
1252,6,F,1990,MBA,Business General,25,1
1253,27,M,1982,BBA,Business General,3e3,1
1254,9,M,1980,BS,Chemistry,1e4,1
1255,8,M,1978,BS,Criminal Justice,50,1
1256,6,M,1978,BS,Criminal Justice,50,1
1257,6,F,1997,BA,English Language and Literature,50,1
1258,4,F,1988,MBA,Business General,25,1
1259,16,F,1990,BS,Health Science,1e3,1
1260,12,F,1983,BA,Political Science,250,1
1261,16,M,1996,BBA,Management,40,1
1262,18,F,1981,BS,Criminal Justice,200,1
1263,8,M,1980,BS,Mathematics,100,1
1264,18,M,1995,MBA,Business General,100,1
1265,10,M,1985,BS,Mathematics,300,1
1266,4,M,1995,MED,Special Education,100,1
1267,10,F,1999,BBA,Marketing,100,1
1268,7,F,1993,MED,General Education,150,1
1269,10,F,1993,MST,Taxation,200,1
1270,4,F,1996,BBA,Marketing,150,1
1271,7,M,1988,BBA,Marketing,100,1
1272,6,M,1992,BS,Computer Science,50,1
1273,5,F,1987,BS,Public Administration,75,1
1274,7,F,1987,BS,Health Science,50,1
1275,13,F,1997,BS,Information Systems,100,1
1276,7,F,1988,BS,Health Science,300,1
1277,14,M,2002,BBA,Finance,500,1
1278,9,F,1987,BS,Therapeutic Recreation,50,1
1279,8,F,1991,BS,Public Administration,50,1
1280,10,M,1991,BS,Geology,300,1
1281,7,M,1998,BS,Psychology,35,1
1282,3,F,1997,MED,General Education,50,1
1283,7,F,2000,BA,German,75,1
1284,5,M,2000,BA,English Language and Literature,50,1
1285,18,M,2001,MBA,Business General,50,1
1286,16,F,2000,BS,Biomedical Sciences,200,1
1287,9,F,1999,BS,Group Science,50,1
1288,3,F,2001,MED,School Counseling,50,1
1289,12,F,1996,BBA,Accounting,100,1
1290,5,F,2002,MBA,Business General,50,1
1291,9,F,1996,BS,Criminal Justice,200,1
1292,1,F,1996,BS,Hospitality Tourism Mgt,25,1
1293,4,F,2000,BSN,Nursing,25,1
1294,15,M,2007,BS,Natural Resource Management,50,1
1295,10,M,2005,MED,General Education,25,1
1296,2,F,2001,BS,Health Communication,25,1
1297,7,M,1998,BFA,Art,10,1
1298,19,M,1977,BS,Art,3e3,1
1299,8,M,1976,MBA,Business General,200,1
1300,24,F,1986,MPA,Public Administration,1002.5,1
1301,31,F,1990,MPA,Public Administration,25,1
1302,5,F,1992,MSW,Social Work,50,1
1303,2,F,1972,MED,Reading,50,1
1304,34,M,2005,BA,Liberal Studies,1070,1
1305,13,F,1983,PMCE,NA,300,1
1306,9,M,1993,BSN,Nursing,100,1
1307,7,F,1984,BS,Nursing,60,1
1308,14,F,1998,BS,Legal Studies,100,1
1309,11,F,1991,BBA,Business General,500,1
1310,6,F,1980,BS,Social Relations,30,1
1311,18,F,1987,BS,GRO Soc Science,35,1
1312,9,F,1979,BS,Music,15,1
1313,14,M,1988,BS,Criminal Justice,450,1
1314,9,M,1991,MS,Computer Information Systems,200,1
1315,4,F,1981,BBA,Accounting,200,1
1316,4,F,1987,BSN,Nursing,50,1
1317,2,F,1989,BS,Chemistry,50,1
1318,16,F,1996,BA,International Relations,50,1
1319,24,M,1985,BS,Physical Education,170,1
1320,19,M,1999,BS,Biomedical Sciences,200,1
1321,7,F,2000,BS,Psychology,25,1
1322,13,M,2000,BBA,Marketing,400,1
1323,6,F,1983,MED,General Education,25,1
1324,8,F,1997,BA,Criminal Justice,25,1
1325,14,F,2004,MBA,Business General,250,1
1326,7,F,2004,MPA,Public Administration,25,1
1327,9,F,1996,BA,English Language and Literature,25,1
1328,10,M,1984,BBA,Marketing,15,1
1329,7,F,1991,BA,Anthropology,100,1
1330,12,M,1989,BS,Criminal Justice,1e3,1
1331,4,F,1989,BS,Legal Studies,100,1
1332,151,F,1988,BS,Communications,28620.42,1
1333,5,M,1992,BBA,Finance,200,1
1334,8,M,1997,BA,English Language and Literature,50,1
1335,7,M,2005,BBA,Finance,50,1
1336,11,F,1991,MED,General Education,50,1
1337,14,F,1995,BA,Philosophy,3195.77,1
1338,9,F,2001,MED,General Education,170,1
1339,15,F,2000,BSW,Social Work,1e4,1
1340,2,M,2002,BA,Film and Video,20,1
1341,6,F,2003,BSW,Social Work,35,1
1342,1,F,2002,BSN,Nursing,50,1
1343,21,F,2008,BA,Mathematics,450,1
1344,20,F,1977,BS,Behavioral Science,100,1
1345,5,F,1990,BS,GRP SS Psych,50,1
1346,8,F,1980,BA,Accounting,100,1
1347,17,M,1977,BS,Group Science,200,1
1348,7,M,1978,BS,Urban Education,100,1
1349,6,M,1984,BS,Chemistry,50,1
1350,1,F,1983,MED,Special Education,50,1
1351,7,M,1982,MED,Special Education,100,1
1352,2,M,1981,BS,Biology,150,1
1353,1,M,1977,BBA,Management,100,1
1354,1,F,1978,BPH,Environmental Studies,35,1
1355,6,F,1993,BA,English Language and Literature,50,1
1356,10,F,1988,MED,General Education,55,1
1357,8,F,1999,MS,Physical Therapy,100,1
1358,6,F,1997,BA,GRO Soc Science,100,1
1359,1,M,1978,BBA,Business General,50,1
1360,6,F,1995,BBA,Accounting,1e3,1
1361,9,M,1998,MED,General Education,100,1
1362,26,F,1980,BA,Therapeutic Recreation,300,1
1363,28,F,1990,BS,Public Administration,25,1
1364,11,M,1980,BS,Public Administration,200,1
1365,10,F,1986,BS,Health Science,400,1
1366,10,M,1986,BS,Political Science,500,1
1367,4,F,1993,BSE,Engineering,300,1
1368,17,M,1995,BSE,Engineering,250,1
1369,2,F,1988,BSN,Nursing,25,1
1370,9,F,2000,MED,General Education,500,1
1371,7,F,1985,MBA,Management,1500,1
1372,4,F,2001,BS,Criminal Justice,30,1
1373,5,M,1984,BS,Psychology,150,1
1374,8,F,1987,BS,Language Arts,100,1
1375,3,M,1986,BBA,Marketing,300,1
1376,8,M,2002,BS,Psychology,50,1
1377,5,M,1997,MST,Taxation,750,1
1378,36,F,2002,MPAS,Physician Assistant Studies,610,1
1379,10,F,2006,BS,Psychology,10,1
1380,8,M,1999,BS,Biomedical Sciences,500,1
1381,95,M,1998,BBA,Finance,250,1
1382,19,M,2003,BS,Computer Science,500,1
1383,8,M,2002,BA,International Relations,1200,1
1384,6,M,2004,BS,Biomedical Sciences,200,1
1385,2,F,2000,BBA,Finance,20,1
1386,8,M,1999,BS,Group Science,100,1
1387,72,M,2001,BS,Legal Studies,725,1
1388,2,M,2001,BBA,Finance,100,1
1389,14,M,2004,BBA,Business Economics,350,1
1390,16,M,2003,BS,GRO Social Studies,25,1
1391,6,F,2002,BBA,Business General,25,1
1392,7,M,2007,BS,Chemistry,50,1
1393,13,F,1983,BS,Computer Science,50,1
1394,2,M,2003,MS,Computer Information Systems,20,1
1395,4,F,1998,BSN,Nursing,50,1
1396,2,F,1982,BS,Social Relations,25,1
1397,10,M,1990,BBA,Marketing,100,1
1398,11,M,1977,BS,Sociology,45,1
1399,17,M,1987,BS,Physical Education,500,1
1400,5,F,1990,MPA,Public Administration,100,1
1401,2,M,1979,BS,Art,100,1
1402,7,F,1979,BS,Chemistry,1e3,1
1403,1,F,2004,MED,General Education,100,1
1404,11,M,1978,BA,German,50,1
1405,23,F,1980,BS,Group SS Soc,1500,1
1406,12,F,1991,PRCE,NA,10,1
1407,14,M,1991,BS,History,1e3,1
1408,26,M,1978,BBA,Accounting,300,1
1409,1,F,1983,BS,Social Relations,20,1
1410,5,F,1982,BS,Nursing,35,1
1411,4,F,1980,BS,Biology,50,1
1412,8,F,1980,BBA,Accounting,50,1
1413,8,M,1993,MBA,Business General,300,1
1414,10,F,1996,BBA,Management,100,1
1415,6,F,1996,MED,General Education,100,1
1416,8,M,1982,BBA,Accounting,150,1
1417,18,F,1996,MED,General Education,70,1
1418,27,F,1988,BS,Advertising & Public Relations,750,1
1419,14,F,1992,BS,Advertising & Public Relations,500,1
1420,3,M,1989,BS,Criminal Justice,100,1
1421,3,F,1999,BS,Psychology,50,1
1422,4,F,1990,BS,GRP SS Psych,5,1
1423,13,M,1999,BS,Information Systems,50,1
1424,22,M,1990,BS,Biology,930,1
1425,10,F,1990,BS,Psychology,100,1
1426,5,F,2001,BS,Health Science,50,1
1427,12,M,1989,BS,Political Science,550,1
1428,4,M,1993,BS,Biomedical Sciences,100,1
1429,18,M,2006,MBA,Business General,150,1
1430,33,M,2006,MBA,Business General,150,1
1431,7,F,1994,MSA,Accounting,125,1
1432,24,M,2004,BBA,Marketing,600,1
1433,38,F,2000,BS,Psychology,25,1
1434,7,M,2002,BS,Liberal Studies,50,1
1435,12,M,2005,MS,Communications,10,1
1436,3,F,1988,MBA,Accounting,100,1
1437,6,M,1988,MST,Taxation,250,1
1438,8,F,1980,BS,Special Education,50,1
1439,7,F,1982,MED,Reading,100,1
1440,40,F,1985,PMCE,NA,650,1
1441,4,M,1982,MBA,Finance,100,1
1442,11,M,1973,BS,Psychology,200,1
1443,9,F,1971,BA,GRP SS Hist,50,1
1444,11,M,1979,BS,Physical Education,5,1
1445,33,M,1977,BS,Social Relations,70,1
1446,11,F,1988,BS,Physical Education,75,1
1447,17,M,1979,BS,Biology,2500,1
1448,9,M,1991,MBA,Business General,25,1
1449,8,M,2003,BBA,Management,50,1
1450,3,F,1990,BBA,Management,100,1
1451,14,F,1988,BS,Hospitality Tourism Mgt,500,1
1452,6,M,1994,BBA,Management,50,1
1453,16,M,1978,MPA,Public Administration,50,1
1454,1,F,1992,MED,General Education,20,1
1455,12,M,1990,BBA,Business General,50,1
1456,12,M,1983,BS,Physical Education,500,1
1457,16,M,1987,BBA,Accounting,150,1
1458,17,M,1988,BS,Political Science,500,1
1459,4,F,1984,BS,Nursing,25,1
1460,7,M,1993,BS,Hospitality Tourism Mgt,150,1
1461,7,F,1992,MBA,Business General,100,1
1462,29,F,1986,BS,Broadcasting,2e3,1
1463,8,M,1993,BBA,Marketing,50,1
1464,7,F,1997,MSN,Nursing,1e3,1
1465,15,F,1989,BSN,Nursing,250,1
1466,7,F,1995,MSW,Social Work,25,1
1467,6,M,1991,BS,Liberal Studies,150,1
1468,22,M,2007,BS,Advertising & Public Relations,775,1
1469,4,F,1991,MED,School Counseling,15,1
1470,9,M,2001,BS,Earth Science,100,1
1471,8,M,1991,BS,Computer Science,400,1
1472,3,F,1991,BBA,Business General,25,1
1473,107,M,2002,BBA,Finance,225,1
1474,8,M,1997,BS,Communications,50,1
1475,14,M,1991,BS,Physical Education,50,1
1476,7,F,1995,MSW,Social Work,50,1
1477,1,F,1992,MED,Special Education,100,1
1478,5,M,2008,BA,Spanish,100,1
1479,10,F,2002,BSN,Nursing,50,1
1480,112,F,2007,BA,Broadcasting,25,1
1481,17,F,2001,BS,Biology,200,1
1482,13,M,1998,BBA,Accounting,550,1
1483,3,F,2000,BBA,Marketing,150,1
1484,102,F,2001,BBA,Management,550,1
1485,39,M,1995,BA,International Relations,500,1
1486,7,M,2002,BSE,Engineering,100,1
1487,17,F,2003,BS,Advertising & Public Relations,600,1
1488,67,F,2007,MPA,Public Administration,30,1
1489,18,M,1982,MPA,Public Administration,115,1
1490,8,F,1980,MED,Special Education,10,1
1491,5,F,1983,MED,General Education,20,1
1492,3,M,1977,BS,Natural Resource Management,250,1
1493,9,F,1981,BS,Special Education,25,1
1494,8,F,1980,BS,Nursing,100,1
1495,13,M,1978,MBA,Finance,200,1
1496,11,M,1987,BBA,Management,125,1
1497,24,M,1982,BS,Natural Resource Management,200,1
1498,11,M,1987,BS,Industrial Technology,25,1
1499,7,F,1987,BS,Physical Therapy,100,1
1500,6,F,1990,MED,Reading,50,1
1501,4,F,1984,BS,Computer Science,50,1
1502,3,M,1999,BA,English Language and Literature,25,1
1503,10,F,1997,MPA,Public Administration,150,1
1504,6,F,1988,BSN,Nursing,75,1
1505,4,M,1993,MPAS,Physician Assistant Studies,600,1
1506,6,F,1978,BSW,Social Work,100,1
1507,10,M,1995,BA,Music,10,1
1508,3,M,1985,BS,Art,25,1
1509,3,F,1994,BS,Health Science,20,1
1510,13,F,2000,BS,Natural Resource Management,30,1
1511,6,F,1990,BS,Therapeutic Recreation,50,1
1512,8,F,1983,BS,Psychology,25,1
1513,7,M,1995,MSW,Social Work,15,1
1514,4,F,1998,BSN,Nursing,50,1
1515,5,F,1989,MED,Special Education,100,1
1516,19,M,1998,BSE,Engineering,400,1
1517,10,M,1982,BBA,Management,275,1
1518,6,F,1984,BS,Criminal Justice,100,1
1519,4,M,1990,BBA,Marketing,1500,1
1520,8,F,1996,BA,Chemistry,50,1
1521,2,M,1991,BS,Biomedical Sciences,100,1
1522,12,M,1987,MPA,Public Administration,150,1
1523,11,F,2002,BS,Mathematics,50,1
1524,4,M,2003,BS,Information Systems,50,1
1525,5,F,1992,BS,Sociology,50,1
1526,10,F,1997,MED,General Education,100,1
1527,9,M,1999,BA,Spanish,500,1
1528,9,F,1987,BS,Physical Therapy,200,1
1529,2,M,1986,BS,Public Administration,250,1
1530,22,F,2002,BSN,Nursing,500,1
1531,3,F,1994,BS,Physical Education,125,1
1532,5,F,2001,BS,Anthropology,150,1
1533,2,M,1995,BBA,Management,1e3,1
1534,10,M,2003,BBA,Accounting,100,1
1535,8,M,1989,MPA,Public Administration,100,1
1536,19,M,2005,MED,General Education,110.09,1
1537,7,M,1988,BBA,Finance,250,1
1538,3,M,1998,BS,Health Science,50,1
1539,13,M,1997,BBA,Marketing,100,1
1540,2,F,1995,BS,Computer Science,50,1
1541,12,M,1997,BBA,Accounting,1e3,1
1542,9,F,1993,BBA,Business General,100,1
1543,12,M,1994,BBA,Finance,100,1
1544,6,F,1995,BS,Advertising & Public Relations,50,1
1545,11,M,1998,BA,History,40,1
1546,10,F,2002,BSN,Nursing,50,1
1547,5,F,2001,BA,Art,200,1
1548,1,F,2002,BS,Biomedical Sciences,150,1
1549,7,F,1998,BBA,Marketing,550,1
1550,2,M,2002,BS,Health Science,25,1
1551,18,F,1996,BBA,Accounting,250,1
1552,7,M,1992,MBA,Finance,50,1
1553,11,M,1975,MBA,Marketing,100,1
1554,9,M,1976,BS,Mathematics,100,1
1555,9,M,1980,BS,Chemistry,100,1
1556,9,F,1979,BS,Social Relations,50,1
1557,5,F,1990,BS,Chemistry,50,1
1558,5,M,1977,BBA,Business General,200,1
1559,4,M,1989,BS,Physical Therapy,50,1
1560,30,M,1979,BS,Physical Education,1500,1
1561,7,F,1993,MPA,Public Administration,30,1
1562,20,F,1979,BS,Physical Education,300,1
1563,1,F,1991,MED,Reading,100,1
1564,5,F,1980,BFA,Art,20,1
1565,12,M,1991,BBA,Management,100,1
1566,11,F,1990,MBA,Management,300,1
1567,9,M,1989,BS,Geology,20,1
1568,3,F,1990,BS,Psychology,25,1
1569,10,M,1981,BME,Music,25,1
1570,9,M,1979,MBA,Business General,500,1
1571,9,M,1996,BSE,Engineering,100,1
1572,9,F,1998,MED,General Education,5e4,1
1573,8,M,1993,MSW,Social Work,150,1
1574,9,M,1981,BS,Psychology,300,1
1575,9,M,1982,MED,Special Education,70,1
1576,6,M,1998,BS,Psychology,50,1
1577,10,F,1994,BBA,Accounting,1500,1
1578,12,M,1982,MBA,Accounting,1e3,1
1579,11,M,1983,BBA,Management,80,1
1580,3,F,1985,BS,Nursing,100,1
1581,4,F,1986,BS,Art,14.4,1
1582,7,F,1981,BS,Physical Education,150,1
1583,10,F,1985,BS,Physical Education,35,1
1584,3,F,1999,BS,Physical Education,200,1
1585,5,M,1987,BS,Computer Science,100,1
1586,5,F,1997,MED,General Education,50,1
1587,14,M,1987,BBA,Facilities Management,100,1
1588,16,F,1983,BS,Computer Science,3035,1
1589,15,F,1985,BBA,Marketing,400,1
1590,11,F,2003,BBA,Marketing,20,1
1591,7,F,1985,BS,GRP SS Hist,50,1
1592,3,M,1994,BA,English Language and Literature,70,1
1593,1,F,1990,MED,Reading,100,1
1594,7,M,1989,BBA,Accounting,100,1
1595,4,F,1990,BA,GRP SS Psych,25,1
1596,1,F,1985,MED,Reading,25,1
1597,3,M,2000,BS,Geology,75,1
1598,25,F,2003,BS,Health Science,600,1
1599,8,M,2001,BBA,Management,75,1
1600,1,M,1995,BBA,Management,25,1
1601,8,F,1991,BS,Biomedical Sciences,100,1
1602,6,M,1994,BBA,Marketing,300.02,1
1603,5,M,2002,BS,Criminal Justice,25,1
1604,9,F,2006,BSE,Engineering,40,1
1605,1,F,2004,BA,Russian Studies,50,1
1606,2,F,2005,BBA,International Business,100,1
1607,33,F,2002,BSN,Nursing,1330,1
1608,12,F,1995,MED,General Education,1200,1
1609,17,M,2002,BS,Geography,500,1
1610,5,F,2003,BBA,Accounting,100,1
1611,4,F,2002,BA,Spanish,5,1
1612,12,M,2004,BBA,Marketing,300,1
1613,8,F,1986,BBA,Accounting,25,1
1614,6,F,1993,BA,English Language and Literature,25,1
1615,14,M,1988,MED,General Education,100,1
1616,3,F,1993,BBA,Accounting,30,1
1617,78,M,1967,BA,GRP SS Hist,550,1
1618,9,M,1986,MED,Special Education,175,1
1619,7,F,1981,BS,Geology,25,1
1620,11,M,1977,BA,Psychology,150,1
1621,9,M,1980,BS,Criminal Justice,50,1
1622,12,M,1985,BS,Computer Science,26,1
1623,9,F,1982,MST,Taxation,100,1
1624,14,F,1994,MED,General Education,100,1
1625,2,F,1991,MBA,Management,25,1
1626,2,F,1989,BBA,Accounting,50,1
1627,2,F,1995,MBA,Business General,25,1
1628,15,M,1979,BBA,Management,100,1
1629,4,M,1979,BS,Physics,75,1
1630,12,F,2003,BS,Statistics,500,1
1631,5,F,2010,BS,Communication Studies,10,1
1632,16,M,1982,BS,Financial Inst. Ins. Real Estate,75,1
1633,1,M,2000,MST,Taxation,100,1
1634,9,F,1978,MED,Special Education,50,1
1635,10,F,1978,BA,Sociology,250,1
1636,3,M,1981,BS,Nursing,150,1
1637,9,M,1984,BS,Chemistry,70,1
1638,4,F,2001,MED,Special Education,100,1
1639,39,F,1992,MS,Communications,50,1
1640,28,M,1982,BS,Criminal Justice,100,1
1641,6,F,1986,BS,GRP SS Psych,50,1
1642,8,F,1985,MED,General Education,300,1
1643,20,F,2002,BS,Health Science,250,1
1644,7,F,2000,BSN,Nursing,110,1
1645,4,F,2003,BS,Physical Education,50,1
1646,3,M,1993,BBA,Finance,120,1
1647,6,F,2001,DNP,Nursing,25,1
1648,11,M,1996,BA,Political Science,150,1
1649,9,F,1988,BBA,Management,500,1
1650,13,M,1991,BBA,Marketing,300,1
1651,4,F,2000,MS,Occupational Therapy,125,1
1652,3,M,1997,MST,Taxation,20,1
1653,9,F,2001,BBA,Management,230,1
1654,12,F,1989,BSN,Nursing,50,1
1655,8,F,2005,BS,Physical Education,50,1
1656,7,M,1995,BS,Geology,200,1
1657,9,M,1990,BBA,Finance,125,1
1658,9,F,1998,BS,Advertising & Public Relations,50,1
1659,4,F,2001,MPAS,Physician Assistant Studies,50,1
1660,16,M,1992,BBA,Management,1e3,1
1661,15,M,2004,MPA,Public Administration,50,1
1662,10,F,2004,BSN,Nursing,150,1
1663,8,F,2002,BS,Health Science,25,1
1664,10,M,2001,BS,Earth Science,50,1
1665,8,F,1995,BA,English Language and Literature,50,1
1666,12,M,1996,BS,Physical Education,25,1
1667,9,F,2004,BS,Physical Education,10,1
1668,5,F,1997,MED,Special Education,50,1
1669,16,F,1985,BBA,Accounting,400,1
1670,8,M,1979,BBA,Marketing,50,1
1671,4,M,1981,MSW,School Social Work,50,1
1672,83,F,1978,MBA,Management,5100,1
1673,3,M,1992,BSE,Engineering,50,1
1674,19,F,1981,BS,Natural Resource Management,1e3,1
1675,10,F,1991,BA,English Language and Lit,35,1
1676,28,M,1971,MBA,Finance,500,1
1677,4,F,1981,MST,Taxation,100,1
1678,23,F,1992,BS,Health Science,250,1
1679,20,M,1977,BS,Physical Education,50,1
1680,13,F,1980,BBA,Accounting,300,1
1681,11,F,1999,BBA,Management,110,1
1682,5,M,1990,BBA,Marketing,100,1
1683,4,F,2003,BBA,Management,25,1
1684,13,M,1983,BS,Art,300,1
1685,9,M,1993,BS,Physical Education,50,1
1686,119,F,1999,MPA,Public Administration,440,1
1687,10,F,1980,BS,GRP SS Hist,10,1
1688,6,F,1992,MED,General Education,125,1
1689,3,F,2003,BS,Group Science,476.67,1
1690,6,F,1993,BS,Physical Education,25,1
1691,8,M,1984,BS,Political Science,500,1
1692,4,F,1999,MED,School Counseling,20,1
1693,12,F,1995,MS,Communications,30,1
1694,248,M,1988,BS,Broadcasting,25,1
1695,2,M,2003,BS,Health Science,100,1
1696,2,M,1993,BS,Physical Education,100,1
1697,8,M,1987,BFA,Art,50,1
1698,4,M,2000,MBA,Business General,50,1
1699,10,F,1987,BFA,Art,20,1
1700,8,M,1997,BS,Physics,2e3,1
1701,9,M,1991,BBA,Marketing,20,1
1702,11,M,1998,BFA,Art,200,1
1703,6,M,2000,MBA,Business General,20,1
1704,10,M,2002,BBA,Marketing,300,1
1705,10,F,1993,BS,Psychology,100,1
1706,3,F,1999,MS,Physical Therapy,100,1
1707,20,F,1982,BA,Language Arts,525,1
1708,12,M,1985,MBA,Marketing,1e3,1
1709,8,M,2002,BS,Physical Education,100,1
1710,9,M,1985,MBA,Management,250,1
1711,55,M,1979,BS,Art,580,1
1712,1,F,2002,BS,Psychology,20,1
1713,9,F,1990,BS,Communications,75,1
1714,8,M,1993,MS,Computer Information Systems,100,1
1715,3,F,1995,BBA,Finance,25,1
1716,5,M,1997,BS,Psychology,10,1
1717,7,F,1979,MA,Urban Education,500,1
1718,7,M,1979,MA,Urban Education,500,1
1719,13,F,1972,BS,Psychology,150,1
1720,3,F,1990,BBA,Accounting,70,1
1721,9,M,2002,BBA,Management,238.34,1
1722,15,M,1985,BS,Occup Safety/Health Management,300,1
1723,7,F,1981,BS,Art,100,1
1724,1,M,1998,MED,General Education,25,1
1725,5,F,1993,MED,Special Education,550,1
1726,7,F,1995,BS,Psychology,25,1
1727,9,M,1976,MPA,Public Administration,600,1
1728,7,F,1981,BS,Music,75,1
1729,4,M,2003,MPAS,Physician Assistant Studies,50,1
1730,9,M,1996,MBA,Business General,25,1
1731,11,F,2008,MED,General Education,50,1
1732,10,F,2002,BS,Sociology,35,1
1733,8,M,1995,MED,General Education,250,1
1734,8,M,1992,MBA,Business General,500,1
1735,11,F,1979,BS,Biology,100,1
1736,13,F,1984,BBA,Accounting,100,1
1737,7,F,1999,MSN,Nursing,50,1
1738,12,F,1985,MBA,Management,400,1
1739,8,M,1997,BS,Geology,500,1
1740,8,F,2007,MED,General Education,50,1
1741,8,F,1986,MSN,Nursing,75,1
1742,10,F,1993,BS,Public Administration,500,1
1743,3,F,1993,BS,Psychology,25,1
1744,11,M,1995,BFA,Art,50,1
1745,21,M,1998,MED,General Education,1765,1
1746,4,F,2004,MED,School Counseling,200,1
1747,5,M,1988,MED,General Education,475,1
1748,13,F,2002,MED,General Education,41,1
1749,16,F,1979,BS,Biology,200,1
1750,6,M,2004,BBA,Finance,50,1
1751,10,M,1998,BS,GRO Social Studies,50,1
1752,8,F,1989,BSN,Nursing - RN,400,1
1753,18,M,1978,BS,Physical Education,17050,1
1754,6,M,1974,BA,Spanish,300,1
1755,21,F,2009,MPA,Public Administration,35,1
1756,8,F,1980,BA,Finance,200,1
1757,18,M,2013,BS,Biology,450,1
1758,4,F,2006,BS,Cell and Molecular Biology,50,1
1759,33,F,1968,BA,History,800,1
1760,7,F,1968,MSW,NA,50,1
1761,19,M,1977,BBA,Business General,1e3,1
1762,10,F,1975,BS,Theatre,1e3,1
1763,8,M,1972,BBA,Business General,400,1
1764,7,F,1978,BS,Group SS Soc,200,1
1765,12,M,1994,BBA,Marketing,750,1
1766,8,F,2001,MSW,Social Work,600,1
1767,5,M,2005,BBA,Marketing,5e3,1
1768,2,F,1986,BS,GRO Soc Science,25,1
1769,26,M,1987,MSW,Social Work,1e3,1
1770,2,F,1989,BS,Psychology,1e4,1
1771,11,F,2006,BA,English Language and Literature,150,1
1772,9,F,2006,BA,English Language and Literature,100,1
1773,10,M,2006,BS,Biomedical Sciences,150,1
1774,3,M,2003,MST,Taxation,20,1
1775,9,M,2003,BS,Computer Science,50,1
1776,11,M,2003,BA,Advertising & Public Relations,20,1
1777,4,F,2003,MS,Computer Information Systems,25,1
1778,12,F,2003,MNMB,Nursing/Business,100,1
1779,10,F,2003,MS,Computer Information Systems,500,1
1780,3,F,2010,MED,Literacy Studies,50,1
1781,11,F,2003,BBA,Marketing,300,1
1782,4,F,2003,MSA,Accounting,20,1
1783,5,F,2003,BA,English Language and Literature,10,1
1784,11,F,2003,BBA,Management,25,1
1785,1,F,2003,MHS,Health Science,50,1
1786,7,M,2003,BBA,Management,500,1
1787,2,F,2003,MED,General Education,100,1
1788,8,F,2003,MED,General Education,5,1
1789,10,F,2003,BA,English Language and Literature,100,1
1790,4,M,2004,BS,Art,35,1
1791,9,M,2004,MED,General Education,60,1
1792,7,F,2004,BBA,Finance,30,1
1793,7,M,2004,MED,General Education,150,1
1794,1,F,2004,MED,Reading,15,1
1795,3,F,2004,BA,History,25,1
1796,14,M,2004,MPA,Public Administration,300,1
1797,9,F,2004,PMCE,NA,100,1
1798,1,F,2004,BBA,Accounting,25,1
1799,18,F,2004,BS,Biology,500,1
1800,7,M,2004,BBA,Marketing,200,1
1801,9,F,2004,BA,Health Communication,60,1
1802,12,F,2004,BS,Physical Education,100,1
1803,6,F,2004,BSN,Nursing,20,1
1804,8,F,2004,BS,Hospitality Tourism Mgt,50,1
1805,13,F,2004,BA,English Language and Literature,60,1
1806,50,F,2004,MS,Communications,15,1
1807,10,M,2004,BBA,Finance,50,1
1808,11,F,2004,DPT,Physical Therapy,300,1
1809,7,M,2004,MBA,Business General,50,1
1810,12,F,2004,MSA,Accounting,200,1
1811,6,F,2004,BS,Biology,50,1
1812,48,M,2004,MBA,Business General,100,1
1813,13,F,2004,MSA,Accounting,31.15,1
1814,7,F,2006,MPA,Public Administration,100,1
1815,34,F,2012,BS,Liberal Studies,500,1
1816,7,M,2005,BBA,Business General,50,1
1817,31,M,2004,MSA,Accounting,300,1
1818,6,F,2004,BSN,Nursing,25,1
1819,6,F,2004,MST,Taxation,200,1
1820,9,F,2004,DPT,Physical Therapy,400,1
1821,8,F,2004,BS,Information Systems,300,1
1822,2,F,2004,BA,Criminal Justice,500,1
1823,8,M,2004,BA,Communications,100,1
1824,2,F,2004,MSW,Social Work,50,1
1825,3,F,2004,BSN,Nursing,300,1
1826,4,M,2004,BSE,Engineering,35,1
1827,10,F,2004,BS,Physical Education,25,1
1828,28,M,2004,MSA,Accounting,300,1
1829,4,F,2004,MSW,Social Work,150,1
1830,14,F,2004,DNP,Nursing,337.08,1
1831,10,M,2004,BS,Political Science,100,1
1832,8,M,2002,BS,History,250,1
1833,1,M,2004,MPA,Public Administration,500,1
1834,8,F,2005,BSN,Nursing,100,1
1835,6,F,2007,MED,General Education,20,1
1836,2,F,2008,MPAS,Physician Assistant Studies,50,1
1837,2,F,2006,BA,Spanish,50,1
1838,8,M,2007,BS,History,11.12,1
1839,15,F,2006,MA,English Language and Literature,1,1
1840,6,M,2006,BBA,Business Economics,200,1
1841,9,F,2006,BS,Biomedical Sciences,100,1
1842,6,F,2005,DPT,Physical Therapy,200,1
1843,3,F,2007,BA,Mathematics,20,1
1844,9,F,2007,BS,Journalism,20,1
1845,8,F,2006,BA,History,100,1
1846,2,F,2008,BA,GRO Social Studies,50,1
1847,7,F,2007,BA,Chemistry,50,1
1848,3,F,2008,BA,Mathematics,20,1
1849,6,F,2009,BA,Journalism,50,1
1850,5,M,2007,BS,Biomedical Sciences,500,1
1851,4,M,2008,MPAS,Physician Assistant Studies,25,1
1852,7,M,2008,BS,Biology,35,1
1853,9,M,2006,BBA,Finance,50,1
